date,amount,customer_id,transaction_type,transactio_id,loan_id
11.01.19,-475258,769,Payout,P76,31
30.11.18,-328524,845,Payout,P77,32
18.11.18,-175924,59,Payout,P78,33
05.12.18,-398266,534,Payout,P79,34
28.12.18,-318260,814,Payout,P80,35
06.11.18,-357769,789,Payout,P81,36
18.12.21,-67582,165,Payout,P82,858
05.11.21,-457089,693,Payout,P83,869
21.12.21,-180611,292,Payout,P84,879
14.10.21,-111323,822,Payout,P85,895
30.09.21,-80828,121,Payout,P86,896
24.11.21,-354123,254,Payout,P87,897
22.10.21,-440943,135,Payout,P88,926
07.10.21,-283449,457,Payout,P89,927
23.10.21,-286878,221,Payout,P90,950
17.10.21,-425652,341,Payout,P91,951
12.11.21,-99406,448,Payout,P92,974
29.10.21,-96925,51,Payout,P93,975
16.02.19,-352016,494,Payout,P94,37
02.12.18,-142682,923,Payout,P95,38
24.01.19,-251622,386,Payout,P96,39
10.12.18,-348172,97,Payout,P97,40
26.12.18,-223822,443,Payout,P98,41
30.12.18,-293172,117,Payout,P99,42
26.02.19,-326630,703,Payout,P100,43
09.12.18,-100560,48,Payout,P101,44
24.01.19,-317784,489,Payout,P102,45
15.02.19,-91170,510,Payout,P103,46
26.02.19,-36297,90,Payout,P104,47
12.01.19,-394122,352,Payout,P105,48
11.02.19,-10867,399,Payout,P106,49
04.02.19,-163854,764,Payout,P107,50
12.02.19,-96999,310,Payout,P108,51
05.01.19,-448577,719,Payout,P109,52
31.01.19,-13447,169,Payout,P110,53
24.12.18,-363822,982,Payout,P111,54
03.02.19,-393079,960,Payout,P112,55
13.03.19,-433220,291,Payout,P113,56
24.12.18,-146023,429,Payout,P114,57
19.03.19,-403257,220,Payout,P115,58
24.03.19,-365579,338,Payout,P116,59
04.03.19,-201557,812,Payout,P117,60
21.03.19,-152617,181,Payout,P118,61
17.03.19,-358631,552,Payout,P119,62
02.02.19,-289051,908,Payout,P120,63
15.01.19,-10796,37,Payout,P121,64
14.02.19,-108394,571,Payout,P122,65
07.02.19,-269420,379,Payout,P123,66
17.01.19,-403865,480,Payout,P124,67
17.03.19,-36298,241,Payout,P125,68
04.03.19,-375130,356,Payout,P126,69
18.10.21,-122025,197,Payout,P127,859
28.11.21,-51371,245,Payout,P128,870
12.10.21,-138928,980,Payout,P129,880
19.10.21,-304449,434,Payout,P130,898
16.11.21,-40546,751,Payout,P131,899
22.12.21,-234511,420,Payout,P132,900
28.10.21,-248868,761,Payout,P133,928
30.11.21,-275421,809,Payout,P134,929
19.12.21,-399324,597,Payout,P135,952
11.12.21,-107038,746,Payout,P136,953
07.11.21,-282907,21,Payout,P137,976
08.11.21,-150074,23,Payout,P138,977
08.02.19,-378328,873,Payout,P139,70
03.03.19,-270359,983,Payout,P140,71
12.04.19,-143482,213,Payout,P141,72
16.04.19,-487638,661,Payout,P142,73
22.04.19,-21323,509,Payout,P143,74
21.03.19,-128222,541,Payout,P144,75
04.03.19,-156821,119,Payout,P145,76
19.04.19,-405941,472,Payout,P146,77
28.03.19,-138514,308,Payout,P147,78
21.03.19,-425928,214,Payout,P148,79
13.03.19,-294412,446,Payout,P149,80
23.02.19,-246269,694,Payout,P150,81
07.04.19,-229884,518,Payout,P151,82
24.03.19,-422588,806,Payout,P152,83
06.04.19,-36727,432,Payout,P153,84
22.02.19,-366219,53,Payout,P154,85
16.02.19,-332833,427,Payout,P155,86
27.02.19,-112041,808,Payout,P156,87
18.04.19,-470658,687,Payout,P157,88
16.04.19,-213589,970,Payout,P158,89
22.02.19,-187833,484,Payout,P159,90
19.04.19,-180509,787,Payout,P160,91
13.03.19,-282384,893,Payout,P161,92
19.04.19,-223202,69,Payout,P162,93
29.04.19,-18856,175,Payout,P163,94
08.03.19,-156748,123,Payout,P164,95
01.04.19,-345617,554,Payout,P165,96
15.05.19,-377708,627,Payout,P166,97
28.02.19,-381071,486,Payout,P167,98
28.03.19,-53611,903,Payout,P168,99
20.03.19,-391028,95,Payout,P169,100
11.04.19,-432851,770,Payout,P170,101
30.03.19,-396929,653,Payout,P171,102
27.05.19,-468197,739,Payout,P172,103
14.05.19,-436467,318,Payout,P173,104
03.05.19,-97502,219,Payout,P174,105
09.04.19,-363208,532,Payout,P175,106
26.04.19,-491528,965,Payout,P176,107
17.03.19,-479171,412,Payout,P177,108
23.03.19,-318811,871,Payout,P178,109
23.05.19,-195729,159,Payout,P179,110
20.07.21,-117639,374,Payout,P180,567
30.07.21,-350487,730,Payout,P181,577
28.08.21,-143236,621,Payout,P182,587
13.09.21,-445600,892,Payout,P183,597
18.07.21,-126305,455,Payout,P184,598
03.09.21,-370892,16,Payout,P185,611
27.07.21,-234954,477,Payout,P186,615
11.08.21,-340608,252,Payout,P187,616
29.07.21,-273215,201,Payout,P188,617
22.08.21,-358062,944,Payout,P189,627
05.10.21,-334138,208,Payout,P190,631
15.10.21,-398119,686,Payout,P191,632
25.08.21,-86367,577,Payout,P192,639
21.09.21,-413591,794,Payout,P193,640
03.10.21,-458951,10,Payout,P194,647
20.10.21,-251266,561,Payout,P195,648
07.10.21,-247692,488,Payout,P196,655
17.10.21,-184571,585,Payout,P197,656
04.10.21,-216748,137,Payout,P198,657
21.10.21,-108527,974,Payout,P199,667
21.08.21,-154443,476,Payout,P200,668
17.08.21,-424708,391,Payout,P201,674
30.09.21,-401949,567,Payout,P202,675
04.08.21,-87900,101,Payout,P203,680
11.09.21,-75818,818,Payout,P204,681
26.10.21,-305910,394,Payout,P205,686
24.08.21,-60302,47,Payout,P206,689
03.10.21,-410784,141,Payout,P207,692
05.10.21,-246385,305,Payout,P208,695
12.10.21,-155346,659,Payout,P209,696
26.08.21,-371872,122,Payout,P210,697
07.10.21,-357402,133,Payout,P211,705
21.10.21,-129453,919,Payout,P212,706
30.08.21,-374857,537,Payout,P213,713
16.08.21,-57958,251,Payout,P214,714
28.09.21,-455166,726,Payout,P215,721
16.09.21,-230279,185,Payout,P216,722
16.08.21,-369314,902,Payout,P217,729
21.08.21,-410389,256,Payout,P218,730
10.09.21,-213715,136,Payout,P219,737
03.10.21,-161144,466,Payout,P220,738
15.10.21,-308017,802,Payout,P221,749
13.10.21,-155141,62,Payout,P222,755
27.08.21,-365522,348,Payout,P223,761
29.09.21,-47775,9,Payout,P224,767
06.05.19,-328536,498,Payout,P225,111
11.05.19,-156087,584,Payout,P226,112
28.06.19,-318968,763,Payout,P227,113
29.05.19,-289306,635,Payout,P228,114
19.05.19,-375573,654,Payout,P229,115
25.07.19,-108807,628,Payout,P230,116
12.10.21,-411541,617,Payout,P231,808
26.10.21,-262042,543,Payout,P232,815
25.10.21,-338315,542,Payout,P233,816
03.11.21,-378893,67,Payout,P234,823
03.11.21,-84454,958,Payout,P235,828
29.11.21,-190675,506,Payout,P236,833
27.09.21,-188560,940,Payout,P237,860
17.11.21,-483906,677,Payout,P238,871
01.11.21,-296361,971,Payout,P239,881
21.12.21,-339253,41,Payout,P240,901
18.12.21,-488433,573,Payout,P241,902
05.10.21,-93279,674,Payout,P242,903
07.12.21,-303091,186,Payout,P243,930
17.10.21,-238200,579,Payout,P244,931
07.10.21,-30905,314,Payout,P245,954
03.10.21,-25836,247,Payout,P246,955
11.10.21,-322388,504,Payout,P247,978
11.12.21,-423042,720,Payout,P248,979
19.11.21,-78553,711,Payout,P249,840
30.11.21,-430294,775,Payout,P250,841
04.12.21,-257434,473,Payout,P251,842
25.08.19,-115024,829,Payout,P252,117
05.09.19,-265941,288,Payout,P253,118
20.07.19,-160187,816,Payout,P254,119
30.08.19,-440673,357,Payout,P255,120
19.09.19,-233821,326,Payout,P256,121
16.09.19,-378911,647,Payout,P257,122
09.08.19,-110949,227,Payout,P258,123
03.08.19,-69871,28,Payout,P259,124
08.07.19,-357739,598,Payout,P260,125
22.07.19,-59633,170,Payout,P261,126
26.08.19,-53542,642,Payout,P262,127
21.09.19,-171686,131,Payout,P263,128
25.07.19,-117374,801,Payout,P264,129
26.08.19,-269758,953,Payout,P265,130
16.09.19,-316020,99,Payout,P266,131
15.07.19,-74078,24,Payout,P267,132
24.09.19,-154565,886,Payout,P268,133
20.07.19,-215247,180,Payout,P269,134
30.08.19,-91643,535,Payout,P270,135
09.08.19,-57858,706,Payout,P271,136
30.09.19,-79661,405,Payout,P272,137
14.10.19,-395550,979,Payout,P273,138
22.08.19,-119778,631,Payout,P274,139
14.09.19,-379352,533,Payout,P275,140
26.09.19,-36615,92,Payout,P276,141
18.08.19,-336669,915,Payout,P277,142
12.09.19,-393711,382,Payout,P278,143
28.08.19,-40731,689,Payout,P279,144
01.09.19,-117220,493,Payout,P280,145
26.07.19,-232345,891,Payout,P281,146
21.09.19,-37706,546,Payout,P282,147
13.10.19,-491913,839,Payout,P283,148
13.09.19,-92925,811,Payout,P284,149
13.10.19,-260128,324,Payout,P285,150
14.08.21,-214188,353,Payout,P286,568
16.07.21,-78063,360,Payout,P287,578
02.10.21,-375106,82,Payout,P288,588
13.08.21,-29393,813,Payout,P289,599
18.08.21,-490731,182,Payout,P290,600
02.10.21,-449782,898,Payout,P291,612
31.08.21,-142396,926,Payout,P292,618
17.07.21,-136522,876,Payout,P293,619
22.09.21,-285724,666,Payout,P294,620
05.08.21,-108754,424,Payout,P295,628
14.09.21,-276758,823,Payout,P296,633
03.09.21,-108390,456,Payout,P297,634
27.09.21,-241020,233,Payout,P298,641
26.08.21,-150341,445,Payout,P299,642
07.09.21,-88321,178,Payout,P300,649
27.09.21,-39092,230,Payout,P301,650
10.10.21,-479663,710,Payout,P302,658
16.09.21,-25934,987,Payout,P303,659
06.10.21,-302726,129,Payout,P304,660
10.09.21,-416377,202,Payout,P305,669
10.09.21,-466869,515,Payout,P306,670
07.09.21,-42161,544,Payout,P307,676
13.09.21,-273665,796,Payout,P308,677
02.09.21,-93670,783,Payout,P309,682
07.10.21,-472844,883,Payout,P310,683
25.08.21,-441066,362,Payout,P311,687
16.10.21,-417667,714,Payout,P312,690
26.09.21,-410759,896,Payout,P313,693
13.10.21,-176727,215,Payout,P314,698
12.10.21,-105218,54,Payout,P315,699
16.09.21,-307748,7,Payout,P316,700
25.08.21,-291209,576,Payout,P317,707
26.08.21,-451987,236,Payout,P318,708
02.11.21,-244417,270,Payout,P319,715
10.08.21,-47511,928,Payout,P320,716
25.09.21,-457419,663,Payout,P321,723
31.10.21,-144903,286,Payout,P322,724
13.09.21,-46082,590,Payout,P323,731
13.08.21,-347511,246,Payout,P324,732
17.10.21,-244850,327,Payout,P325,739
31.08.21,-479472,350,Payout,P326,740
29.10.21,-319753,139,Payout,P327,750
16.08.21,-221241,19,Payout,P328,756
02.10.21,-165407,559,Payout,P329,762
25.10.21,-333976,296,Payout,P330,768
12.10.19,-327201,8,Payout,P331,151
30.12.19,-119019,634,Payout,P332,152
01.09.21,-256227,225,Payout,P333,525
30.07.21,-206778,281,Payout,P334,526
11.08.21,-353595,264,Payout,P335,539
22.07.21,-284159,768,Payout,P336,540
31.07.21,-474176,935,Payout,P337,553
20.07.21,-391469,209,Payout,P338,560
12.08.21,-341854,722,Payout,P339,569
17.08.21,-397369,668,Payout,P340,579
25.07.21,-278256,467,Payout,P341,589
19.09.21,-254392,771,Payout,P342,601
27.11.19,-301907,985,Payout,P343,153
14.10.19,-332098,695,Payout,P344,154
22.11.19,-261842,688,Payout,P345,155
05.12.19,-190809,211,Payout,P346,156
01.01.20,-458900,138,Payout,P347,157
07.01.20,-25663,502,Payout,P348,158
25.10.19,-344115,12,Payout,P349,159
07.12.19,-329459,74,Payout,P350,160
08.11.19,-69557,655,Payout,P351,161
07.01.20,-58455,825,Payout,P352,162
19.01.20,-415458,276,Payout,P353,163
19.12.19,-449125,611,Payout,P354,164
10.11.19,-83915,72,Payout,P355,165
24.11.19,-296218,66,Payout,P356,166
20.11.19,-274661,372,Payout,P357,167
12.11.21,-54978,307,Payout,P358,809
10.11.21,-390396,920,Payout,P359,817
18.11.21,-18490,640,Payout,P360,818
20.10.21,-496748,253,Payout,P361,824
09.12.21,-146906,527,Payout,P362,829
01.12.21,-175811,58,Payout,P363,834
27.10.21,-219665,981,Payout,P364,861
03.12.21,-29000,934,Payout,P365,872
15.12.21,-276827,890,Payout,P366,882
08.11.21,-178321,557,Payout,P367,904
15.10.21,-167772,235,Payout,P368,905
12.12.21,-209316,540,Payout,P369,906
27.10.21,-337084,332,Payout,P370,932
24.12.21,-160549,638,Payout,P371,933
02.10.21,-140120,925,Payout,P372,956
11.12.21,-225439,799,Payout,P373,957
18.11.21,-287392,299,Payout,P374,980
07.11.21,-442167,376,Payout,P375,981
05.12.21,-454225,618,Payout,P376,843
03.12.21,-355776,870,Payout,P377,844
29.10.21,-43547,562,Payout,P378,845
12.01.20,-376044,821,Payout,P379,168
20.02.20,-407065,481,Payout,P380,169
23.01.20,-32540,388,Payout,P381,170
15.02.20,-247117,177,Payout,P382,171
04.03.20,-479777,620,Payout,P383,172
31.12.19,-35650,499,Payout,P384,173
10.03.20,-55788,295,Payout,P385,174
19.01.20,-451664,699,Payout,P386,175
29.12.19,-234865,716,Payout,P387,176
24.12.19,-67124,56,Payout,P388,177
23.12.19,-42518,847,Payout,P389,178
26.12.19,-77741,113,Payout,P390,179
12.03.20,-119100,76,Payout,P391,180
26.02.20,-147173,306,Payout,P392,181
03.02.20,-348497,867,Payout,P393,182
20.03.20,-395807,61,Payout,P394,183
27.02.20,-53828,916,Payout,P395,184
19.03.20,-171400,132,Payout,P396,185
20.03.20,-221693,933,Payout,P397,186
07.01.20,-433523,913,Payout,P398,187
15.02.20,-336684,805,Payout,P399,188
06.01.20,-85494,289,Payout,P400,189
23.07.21,-415307,303,Payout,P401,527
07.09.21,-81471,531,Payout,P402,528
22.07.21,-412090,606,Payout,P403,541
08.09.21,-246509,885,Payout,P404,542
28.08.21,-305232,707,Payout,P405,554
19.08.21,-209232,298,Payout,P406,561
24.07.21,-96391,150,Payout,P407,570
07.09.21,-399393,616,Payout,P408,580
05.09.21,-221521,260,Payout,P409,590
10.08.21,-211972,698,Payout,P410,602
11.02.20,-371827,411,Payout,P411,190
27.03.20,-120013,955,Payout,P412,191
09.02.20,-325908,451,Payout,P413,192
27.03.20,-356213,950,Payout,P414,193
25.03.20,-113704,168,Payout,P415,194
12.04.20,-58366,868,Payout,P416,195
15.04.20,-467777,523,Payout,P417,196
06.03.20,-472308,780,Payout,P418,197
23.02.20,-428137,407,Payout,P419,198
03.02.20,-303386,255,Payout,P420,199
17.03.20,-69094,328,Payout,P421,200
20.03.20,-380287,441,Payout,P422,201
24.03.20,-363478,273,Payout,P423,202
10.02.20,-463845,316,Payout,P424,203
08.04.20,-174780,681,Payout,P425,204
29.02.20,-465190,737,Payout,P426,205
14.02.20,-497218,334,Payout,P427,206
23.03.20,-138193,79,Payout,P428,207
29.02.20,-288732,529,Payout,P429,208
02.03.20,-477808,721,Payout,P430,209
23.02.20,-321467,738,Payout,P431,210
28.04.20,-379877,921,Payout,P432,211
16.04.20,-187313,46,Payout,P433,212
18.02.20,-436806,321,Payout,P434,213
19.03.20,-34466,907,Payout,P435,214
22.04.20,-383647,171,Payout,P436,215
24.03.20,-311486,112,Payout,P437,216
19.04.20,-338637,625,Payout,P438,217
05.07.21,-272507,223,Payout,P439,529
07.09.21,-282713,904,Payout,P440,530
29.06.21,-425973,853,Payout,P441,543
24.07.21,-232338,779,Payout,P442,544
25.07.21,-146578,196,Payout,P443,555
13.08.21,-386186,361,Payout,P444,562
11.07.21,-498827,84,Payout,P445,571
02.09.21,-467344,548,Payout,P446,581
22.09.21,-180681,237,Payout,P447,591
11.08.21,-451188,272,Payout,P448,603
02.11.21,-397646,570,Payout,P449,819
27.09.21,-433786,32,Payout,P450,825
28.09.21,-334241,331,Payout,P451,830
08.10.21,-184272,243,Payout,P452,835
01.11.21,-29255,841,Payout,P453,862
24.11.21,-236403,266,Payout,P454,873
11.12.21,-89333,667,Payout,P455,883
11.10.21,-272331,734,Payout,P456,907
24.10.21,-348173,94,Payout,P457,908
23.11.21,-445126,989,Payout,P458,909
18.12.21,-264557,503,Payout,P459,934
30.10.21,-384042,126,Payout,P460,935
12.10.21,-185402,39,Payout,P461,958
08.10.21,-237707,125,Payout,P462,959
07.12.21,-261281,900,Payout,P463,982
21.10.21,-479105,271,Payout,P464,983
07.11.21,-73186,874,Payout,P465,846
01.10.21,-172347,846,Payout,P466,847
17.12.21,-434756,164,Payout,P467,848
09.04.20,-113983,490,Payout,P468,218
19.06.20,-423231,599,Payout,P469,219
16.06.20,-451141,158,Payout,P470,220
07.05.20,-372068,671,Payout,P471,221
08.04.20,-359698,880,Payout,P472,222
05.06.20,-365607,428,Payout,P473,223
23.06.20,-308416,833,Payout,P474,224
02.07.20,-121330,612,Payout,P475,225
17.05.20,-349323,580,Payout,P476,226
27.04.20,-103060,946,Payout,P477,227
22.04.20,-81551,104,Payout,P478,228
02.07.20,-131619,827,Payout,P479,229
15.06.20,-230277,807,Payout,P480,230
14.06.20,-440758,151,Payout,P481,231
07.07.20,-275680,731,Payout,P482,232
14.05.20,-441175,964,Payout,P483,233
18.06.20,-419247,917,Payout,P484,234
05.07.20,-264651,80,Payout,P485,235
11.07.20,-137868,217,Payout,P486,236
07.07.20,-402154,110,Payout,P487,237
16.06.20,-475614,106,Payout,P488,238
08.05.20,-482592,995,Payout,P489,239
04.07.20,-350783,605,Payout,P490,240
12.06.20,-383850,277,Payout,P491,241
17.07.20,-132663,986,Payout,P492,242
14.07.20,-441060,549,Payout,P493,243
02.06.20,-150683,897,Payout,P494,244
31.05.20,-82686,884,Payout,P495,245
04.06.20,-344504,680,Payout,P496,246
16.05.20,-446991,57,Payout,P497,247
07.07.20,-409606,715,Payout,P498,248
26.07.20,-256545,600,Payout,P499,249
27.05.20,-480635,622,Payout,P500,250
13.06.20,-328510,901,Payout,P501,251
14.05.20,-147069,911,Payout,P502,252
05.07.20,-322994,258,Payout,P503,253
06.06.20,-299396,623,Payout,P504,254
20.07.20,-100633,569,Payout,P505,255
15.05.20,-102285,581,Payout,P506,256
06.12.21,-155880,936,Payout,P507,910
17.12.21,-406173,560,Payout,P508,911
02.12.21,-81987,840,Payout,P509,936
30.11.21,-13930,755,Payout,P510,937
05.11.21,-312381,166,Payout,P511,960
18.11.21,-82130,753,Payout,P512,961
22.11.21,-496385,280,Payout,P513,984
05.12.21,-490844,418,Payout,P514,985
20.11.21,-313103,914,Payout,P515,986
22.12.21,-484534,864,Payout,P516,995
25.12.21,-478805,830,Payout,P517,996
26.05.20,-263674,866,Payout,P518,257
01.08.20,-371105,163,Payout,P519,258
06.08.20,-460217,189,Payout,P520,259
07.08.20,-348700,760,Payout,P521,260
28.06.20,-444473,232,Payout,P522,261
16.08.20,-481826,14,Payout,P523,262
07.07.20,-469700,320,Payout,P524,263
12.08.20,-394846,111,Payout,P525,264
02.08.20,-498487,342,Payout,P526,265
20.08.20,-264811,879,Payout,P527,266
25.06.21,-80556,157,Payout,P528,531
21.07.21,-495026,679,Payout,P529,532
15.07.21,-320006,804,Payout,P530,545
15.09.21,-69870,389,Payout,P531,546
31.07.21,-325202,155,Payout,P532,556
15.07.21,-430719,899,Payout,P533,563
08.09.21,-322015,514,Payout,P534,572
09.09.21,-384821,961,Payout,P535,582
11.07.21,-50026,416,Payout,P536,592
01.10.21,-351646,198,Payout,P537,604
03.07.20,-97620,261,Payout,P538,267
13.08.20,-349344,614,Payout,P539,268
29.08.20,-269942,330,Payout,P540,269
08.08.20,-87561,803,Payout,P541,270
02.08.20,-219729,128,Payout,P542,271
17.09.20,-329641,89,Payout,P543,272
26.06.20,-74839,905,Payout,P544,273
25.08.20,-284983,745,Payout,P545,274
12.09.20,-334315,210,Payout,P546,275
10.07.20,-401539,505,Payout,P547,276
13.07.20,-392190,656,Payout,P548,277
28.07.20,-24696,513,Payout,P549,278
02.08.20,-51760,88,Payout,P550,279
23.09.20,-325527,575,Payout,P551,280
04.09.20,-493090,259,Payout,P552,281
29.08.20,-421810,777,Payout,P553,282
02.10.20,-210185,996,Payout,P554,283
22.08.20,-135752,742,Payout,P555,284
04.09.20,-17410,984,Payout,P556,285
24.07.20,-473896,941,Payout,P557,286
20.07.20,-274514,724,Payout,P558,287
21.07.20,-266469,639,Payout,P559,288
22.08.20,-157404,401,Payout,P560,289
14.09.20,-264352,725,Payout,P561,290
04.10.20,-295055,788,Payout,P562,291
12.08.20,-323643,743,Payout,P563,292
14.08.20,-78095,311,Payout,P564,293
21.10.20,-237447,462,Payout,P565,294
12.08.20,-349822,140,Payout,P566,295
13.08.20,-96440,636,Payout,P567,296
29.07.20,-337115,267,Payout,P568,297
30.08.20,-168770,819,Payout,P569,298
10.09.20,-145490,86,Payout,P570,299
26.10.20,-493216,637,Payout,P571,300
05.10.20,-96243,228,Payout,P572,301
24.10.20,-329780,790,Payout,P573,302
22.08.20,-192952,102,Payout,P574,303
20.11.21,-479258,728,Payout,P575,912
28.09.21,-431851,440,Payout,P576,913
31.10.21,-477975,591,Payout,P577,938
10.11.21,-74738,144,Payout,P578,939
06.10.21,-59026,366,Payout,P579,962
05.10.21,-131683,969,Payout,P580,963
15.12.21,-274855,2,Payout,P581,987
31.10.21,-343242,329,Payout,P582,988
23.10.21,-373924,143,Payout,P583,989
18.10.21,-320992,4,Payout,P584,997
28.12.21,-102274,242,Payout,P585,998
22.10.20,-390635,595,Payout,P586,304
30.08.20,-347736,304,Payout,P587,305
10.09.20,-41871,421,Payout,P588,306
03.11.20,-184057,1000,Payout,P589,307
20.10.20,-93655,860,Payout,P590,308
03.10.20,-15782,778,Payout,P591,309
10.11.20,-285864,792,Payout,P592,310
28.10.20,-383818,191,Payout,P593,311
28.08.20,-339010,222,Payout,P594,312
05.11.20,-400586,20,Payout,P595,313
17.11.20,-281354,740,Payout,P596,314
30.09.20,-301810,482,Payout,P597,315
27.09.20,-288056,442,Payout,P598,316
24.11.20,-286345,519,Payout,P599,317
12.10.20,-344126,927,Payout,P600,318
03.11.20,-113317,49,Payout,P601,319
07.10.20,-92638,363,Payout,P602,320
03.12.20,-136918,265,Payout,P603,321
31.10.20,-261539,437,Payout,P604,322
03.12.20,-118643,240,Payout,P605,323
15.09.20,-467467,501,Payout,P606,324
13.09.20,-357144,733,Payout,P607,325
06.10.20,-468227,339,Payout,P608,326
25.09.20,-30017,17,Payout,P609,327
07.10.20,-428273,762,Payout,P610,328
05.10.20,-85322,116,Payout,P611,329
15.11.20,-213958,511,Payout,P612,330
11.10.20,-253943,83,Payout,P613,331
18.12.20,-259133,696,Payout,P614,332
09.11.20,-25464,114,Payout,P615,333
17.10.20,-342377,107,Payout,P616,334
06.11.20,-468399,507,Payout,P617,335
10.10.20,-246797,65,Payout,P618,336
20.09.21,-241533,767,Payout,P619,573
12.08.21,-372670,294,Payout,P620,583
12.09.21,-143099,963,Payout,P621,593
26.09.21,-324655,708,Payout,P622,605
25.07.21,-52297,949,Payout,P623,606
15.07.21,-374932,538,Payout,P624,613
16.08.21,-437585,702,Payout,P625,621
19.08.21,-54039,644,Payout,P626,622
05.09.21,-244662,630,Payout,P627,623
03.10.21,-233971,732,Payout,P628,629
29.09.21,-366289,485,Payout,P629,635
09.10.21,-265989,834,Payout,P630,636
29.07.21,-305375,574,Payout,P631,643
16.08.21,-415600,968,Payout,P632,644
31.08.21,-171933,212,Payout,P633,651
04.09.21,-42283,172,Payout,P634,652
19.09.21,-245867,77,Payout,P635,661
22.09.21,-284091,495,Payout,P636,662
22.08.21,-448618,34,Payout,P637,663
21.09.21,-320604,646,Payout,P638,671
15.10.21,-42635,735,Payout,P639,741
19.09.21,-99401,403,Payout,P640,742
05.10.21,-493782,414,Payout,P641,751
31.10.21,-155014,187,Payout,P642,757
30.09.21,-496079,861,Payout,P643,763
16.11.21,-378012,832,Payout,P644,769
13.10.21,-233847,262,Payout,P645,773
03.09.21,-79582,340,Payout,P646,774
14.10.21,-383970,257,Payout,P647,779
15.09.21,-451782,115,Payout,P648,780
07.08.21,-291832,877,Payout,P649,701
29.09.21,-329954,975,Payout,P650,709
04.10.21,-251857,547,Payout,P651,710
01.09.21,-345104,415,Payout,P652,717
20.08.21,-316427,71,Payout,P653,718
31.08.21,-324959,68,Payout,P654,725
05.10.21,-321604,658,Payout,P655,726
17.08.21,-141798,741,Payout,P656,733
17.08.21,-401151,878,Payout,P657,734
20.10.21,-217895,234,Payout,P658,743
19.09.21,-151004,435,Payout,P659,744
22.08.21,-189716,858,Payout,P660,752
23.08.21,-79071,351,Payout,P661,758
18.10.21,-485078,297,Payout,P662,764
23.08.21,-281959,436,Payout,P663,770
21.01.21,-472789,285,Payout,P664,337
